T, R, uR
-30, 1733.2, 1733200
-29, 1630.408, 1630408
-28, 1534.477, 1534477
-27, 1444.903, 1444903
-26, 1361.22, 1361220
-25, 1283, 1283000
-24, 1209.327, 1209327
-23, 1140.424, 1140424
-22, 1075.949, 1075949
-21, 1015.588, 1015588
-20, 959.05, 959050
-19, 906.0117, 906012
-18, 856.2883, 856288
-17, 809.6506, 809651
-16, 765.8865, 765887
-15, 724.8, 724800
-14, 685.6507, 685651
-13, 648.8929, 648893
-12, 614.3649, 614365
-11, 581.9169, 581917
-10, 551.41, 551410
-9, 522.6908, 522691
-8, 495.6674, 495667
-7, 470.2286, 470229
-6, 446.2714, 446271
-5, 423.7, 423700
-4, 402.056, 402056
-3, 381.6658, 381666
-2, 362.4488, 362449
-1, 344.3301, 344330
0, 327.24, 327240
1, 311.0397, 311040
2, 295.7506, 295751
3, 281.3157, 281316
4, 267.682, 267682
5, 254.8, 254800
6, 242.5827, 242583
7, 231.0321, 231032
8, 220.108, 220108
9, 209.7724, 209772
10, 199.99, 199990
11, 190.5578, 190558
12, 181.6319, 181632
13, 173.1822, 173182
14, 165.1804, 165180
15, 157.6, 157600
16, 150.4253, 150425
17, 143.6234, 143623
18, 137.1726, 137173
19, 131.0528, 131053
20, 125.245, 125245
21, 119.6582, 119658
22, 114.3559, 114356
23, 109.3221, 109322
24, 104.5415, 104542
25, 100, 100000
26, 95.8191, 95819
27, 91.8392, 91839
28, 88.0494, 88049
29, 84.4395, 84440
30, 81, 81000
31, 77.6238, 77624
32, 74.4091, 74409
33, 71.3472, 71347
34, 68.4301, 68430
35, 65.65, 65650
36, 62.9838, 62984
37, 60.442, 60442
38, 58.0181, 58018
39, 55.706, 55706
40, 53.5, 53500
41, 51.3708, 51371
42, 49.3391, 49339
43, 47.3998, 47400
44, 45.5483, 45548
45, 43.78, 43780
46, 42.0555, 42056
47, 40.4092, 40409
48, 38.8369, 38837
49, 37.335, 37335
50, 35.8999, 35900
51, 34.616, 34616
52, 33.3855, 33386
53, 32.2059, 32206
54, 31.0748, 31075
55, 29.99, 29990
56, 28.9053, 28905
57, 27.866, 27866
58, 26.87, 26870
59, 25.9153, 25915
60, 25, 25000
61, 24.1099, 24110
62, 23.2565, 23257
63, 22.4381, 22438
64, 21.6531, 21653
65, 20.9, 20900
66, 20.1741, 20174
67, 19.4774, 19477
68, 18.8087, 18809
69, 18.1666, 18167
70, 17.55, 17550
71, 16.9459, 16946
72, 16.3659, 16366
73, 15.8089, 15809
74, 15.2739, 15274
75, 14.76, 14760
76, 14.2813, 14281
77, 13.8206, 13821
78, 13.3774, 13377
79, 12.9507, 12951
80, 12.54, 12540
81, 12.1347, 12135
82, 11.7447, 11745
83, 11.3694, 11369
84, 11.008, 11008
85, 10.66, 10660
86, 10.3243, 10324
87, 10.001, 10001
88, 9.6895, 9690
89, 9.3893, 9389
